Name,SMILES
p000001,C1=CC(=C(C=C1Cl)Cl)Cl
p000002,C1=CC(=C(C=C1Cl)O)Cl
p000003,CCCCCCCC
p000004,C1=CC=C2C(=C1)C3=CC=CC=C3O2
p000005,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
p000006,C1=CC=C2C=CC=CC2=C1
p000007,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
p000008,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
p000009,CCCCCCCCCC1=CC=C(C=C1)O
p000010,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
p000011,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
p000013,C(Br)Br
p000014,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
p000015,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
p000016,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
p000017,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl
p000018,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C
p000019,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
p000020,C1=CC(=CC=C1Cl)Cl
p000021,C(Br)(Br)Br
p000022,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
p000023,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
p000024,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
p000025,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32
p000026,C(Cl)(Cl)(Cl)Cl
p000027,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
p000028,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O
p000029,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl
p000030,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
p000031,C(Cl)Br
p000032,C(Cl)Cl
p000033,C(Cl)(Cl)Br
p000034,CC1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
p000035,CCOP(=O)(OCC)OCC
p000036,C(C(Cl)Cl)(Cl)Cl
p000037,C1CC2=CC=CC3=C2C1=CC=C3
p000038,C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3
p000039,CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC
p000040,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-]
p000041,C1C2=CC=CC=C2C3=CC=CC=C31
p000042,C1=CC=C2C(=C1)C3=CC=CC=C3N2
p000043,C1=C(C=C(C(=C1Cl)O)Cl)Cl
p000044,CC1=CC=CC2=CC=CC=C12
